frame_number,left_knee,right_knee,left_ankle,right_ankle,left_hip,right_hip,left_elbow,right_elbow,left_shank,right_shank,trunk_lean,left_ankle_y,right_ankle_y,phase_left,phase_right
0,160.3218987795983,122.35605890679146,123.47039202228827,151.21217466787027,124.98970008484949,148.33767791412717,42.93005992129396,63.618076254105674,27.96181166372483,94.66798427895479,7.370387031023944,0.7341315746307373,0.6364150047302246,0,0
1,152.64107930420295,100.70639884911952,116.33559915047293,156.2844858215489,129.89173842079742,165.1353047748569,51.21721021866714,77.28696874133462,15.495449780713939,97.97702111470471,7.253891102691537,0.740939736366272,0.6322133541107178,0,0
2,48.47741551564221,153.99066224464298,87.45253278180029,129.18635720655735,139.1466715669102,155.65715863188714,57.69886302188796,98.44620730760535,100.07060748744222,4.260192714790055,9.40135143617425,0.6312006115913391,0.7374591827392578,0,0
3,94.60566877873354,121.1419394935057,120.98505813590948,127.81921773231541,138.54426282612567,150.4402379943795,71.9718576602421,99.24139933581155,55.35522131861741,32.27024490499486,11.416627271225309,0.7210392355918884,0.732576310634613,0,0
4,122.26128535453552,46.06881570547322,53.38661460670524,117.52957424356276,157.2000570916404,116.87612083983328,69.82593570849355,62.36594299075232,52.37982298688203,74.35656843782796,17.441051249777146,0.7458471655845642,0.6782765984535217,0,0
5,155.17010570388828,33.01337276665146,67.80380953280842,125.19467767571585,172.74100716791787,112.09819454075871,68.64393167298682,62.38169509744568,52.879496395461125,74.80644007519419,20.790609267267257,0.7453524470329285,0.6531804203987122,0,0
6,168.22418458598472,52.81598512536481,102.04582933827201,92.474759656997,159.37128594874656,109.46996030906759,64.55205251754397,53.895365426783734,54.4914227308565,52.75318941720074,22.08689326558779,0.7397278547286987,0.6716140508651733,0,0
7,169.7957295419162,83.03886695924405,134.83826732286835,92.51698868331732,152.52176818961036,114.74333125658552,64.49671255994096,57.446323905288494,60.78000701972785,24.294292751709033,23.097504751254295,0.7278828024864197,0.6973069310188293,0,0
8,157.20400220397144,119.59081680483408,132.58358797567234,106.98429173279308,152.5558561035496,122.06670538791008,71.87152573196117,60.691601639171914,72.66869683496562,7.203405844786837,22.428555142486626,0.7076331377029419,0.7110739350318909,0,0
9,140.08685707451883,147.55235247426296,141.39754063665157,120.67466296433287,157.8795344454906,129.99774463469814,72.9580263731222,63.2856350588439,84.61375542620947,27.507433494683188,22.58014694621885,0.676802933216095,0.7183908820152283,0,0
10,126.04262076607476,160.27869615346046,151.83832247913358,124.15662051276097,162.78430918505086,138.6580408877126,76.0572115414477,69.02697826366838,92.48981176518573,31.17777388367206,21.316741716311373,0.6529842615127563,0.725821852684021,0,0
