frame_number,left_knee,right_knee,left_ankle,right_ankle,left_hip,right_hip,left_elbow,right_elbow,left_shank,right_shank,trunk_lean,left_ankle_y,right_ankle_y,phase_left,phase_right
0,177.75217166306882,151.73049287279412,102.44399926004239,106.15774558638081,175.00126798432805,142.59615956076067,157.6973345506608,161.42597779271154,9.437065610416022,4.113149459560214,2.190505257813219,0.7238625288009644,0.7113327980041504,0,0
1,179.14882855279944,151.87481251570097,104.03074064256379,103.66297072316917,176.7455982907923,145.62105773344155,154.04468078318124,157.43396602065388,9.0760397681121,1.6575333248449906,4.9704666117036345,0.7238583564758301,0.711365282535553,0,0
2,177.54560377126086,153.56684521500918,104.83886647739638,101.81713273472776,176.40422663027778,148.23705345257855,152.82766288188247,153.8947383689093,9.14772354985942,0.08163862552767097,8.006346408876471,0.7238534092903137,0.7114609479904175,0,0
3,175.92215458233798,158.65113370541803,103.32842227914584,103.28754841513488,174.78325734286824,151.8641001476082,145.88736519748844,152.71438208616786,10.333421533391085,1.1445282999939135,9.19452429392133,0.7236925363540649,0.7114067077636719,0,0
4,177.18277907225453,162.34145576001572,102.25430811822625,103.50803089947291,174.64441681089758,154.19790698083244,141.92918014515004,149.93182423774263,12.58582615129269,1.253970496661209,10.047463889935798,0.7230740785598755,0.7111924886703491,0,0
5,175.81806036054226,164.35888500618563,101.17801051101706,103.19005463332559,172.92777878354275,157.14495340024735,145.3136531453715,148.5444543701034,14.44663886580647,0.4372992137267445,11.55635728880704,0.7224721312522888,0.7099568843841553,0,0
6,175.4050240829818,164.99116534611886,101.14481830280089,101.23501707889841,172.11916903800557,158.31679839180995,144.3934394764169,147.47471881160064,15.831485335069306,1.4639972582863334,12.545630290093039,0.7221304178237915,0.7094619870185852,0,0
7,177.51531972669426,165.45355660310852,98.80918932645082,99.37704272700668,172.87375639099204,159.54136138084692,142.677811148833,146.20802154740477,18.561160180071923,3.509320715754653,13.919596844369526,0.7219619750976562,0.7093572616577148,0,0
8,179.55683390624117,164.70598932283917,95.7466310452657,96.66433934898906,174.23062189913838,159.73963120557536,148.05794955469366,148.56302554792543,21.837620672069725,6.104884594823954,15.625076477449364,0.7215554118156433,0.7093561887741089,0,0
9,176.64411501548747,163.98071271083293,92.37274547030071,95.31820071027508,175.00406930784447,161.22156837956007,153.50224961558635,149.5157718553733,25.720892381165907,8.240192685993454,17.36907670449793,0.721176266670227,0.7093707323074341,0,0
10,171.47957837856913,162.36015951066278,86.61299970203193,91.95556061720809,175.83339765047998,161.60759810400933,149.89209295964366,144.27537657058204,30.250317011508788,11.347085224986007,17.563293040557774,0.7205723524093628,0.7093929052352905,0,0
11,161.02197519282976,160.42569437793387,84.24232189167145,89.26517626547535,178.18614924783637,161.0273912467451,149.8509108118615,140.77174517767082,36.77112155982579,14.299474697097297,19.606947504819033,0.7180458903312683,0.7094002366065979,0,0
12,151.23839387445375,164.0290716180154,83.922241498976,86.79565704966448,173.4098102048996,164.358369574516,153.43353910843427,137.25906359928948,42.85560205164581,16.01027380763528,20.684185721199917,0.7144491076469421,0.7092119455337524,0,0
13,139.2464881049839,166.22808668010646,84.89046947444794,83.99101398449943,165.75733555461068,167.95634275102682,161.2410520022353,136.0794415139852,48.762523739796144,18.883005488339755,22.251676290169325,0.7105628252029419,0.7087249755859375,0,0
14,131.43277684363954,168.07621928650386,89.74109880963675,79.77093951902113,159.9463731124451,171.4007544123136,165.80143640966725,133.569469092182,52.13383093119953,22.790550608562906,23.620234662393948,0.7072163224220276,0.7066396474838257,0,0
15,126.59148392079139,165.80318619015438,97.21697590561732,75.2666329718879,159.29788657146247,172.84029748211353,161.99082808495632,131.02720550875335,55.12097767353672,27.786171310081254,22.414575022865648,0.7033692598342896,0.7057744264602661,0,0
16,123.55266093287739,156.51290059108513,103.36209170256605,67.56698228711753,158.5477034563924,169.5743223658919,164.07395114262494,127.40939605854813,56.34327683949267,35.30911927949657,21.348234315977642,0.7006238698959351,0.7050884962081909,0,0
17,120.45017897146155,141.05025583316078,90.96103433914564,62.359976791891434,153.33026517255112,161.6464735566249,159.76267754775677,118.40498949315347,56.07193193498742,45.81857415260466,23.191845733897818,0.6970547437667847,0.698169469833374,0,0
18,116.46036240679743,128.9857776071087,86.61261960421422,65.90011754025355,145.19540869638817,152.66134899501446,156.9724657486114,107.53824111009017,55.15467948698959,53.031152342975325,26.419633197398866,0.6936517357826233,0.6905796527862549,0,0
19,110.80131529503078,139.00348558639018,75.41023324626359,74.85511794022275,139.21392534467415,151.35254049709127,158.77492140222333,101.60932603882344,55.463608246535074,47.45580862938463,27.050998196891697,0.6926177740097046,0.6878591179847717,0,0
20,101.87025762641044,149.62661082305985,70.1058971029774,80.6078649903892,131.92059727319733,152.56587245819682,162.29546075386605,104.2739540423913,57.351839012363975,40.97895094133088,27.30149936557707,0.6904910802841187,0.6892057657241821,0,0
