frame_number,left_knee,right_knee,left_ankle,right_ankle,left_hip,right_hip,left_elbow,right_elbow,left_shank,right_shank,trunk_lean,left_ankle_y,right_ankle_y,phase_left,phase_right
0,160.45855501920445,77.37067204895605,116.78677180970074,99.82435031837909,152.1644451523284,104.36842346682212,60.326358685694245,80.96473382320801,58.92861785527572,36.97461829320845,11.551618026808503,0.740420937538147,0.709388256072998,0,0
1,104.55879356877765,163.13268907538142,94.71506630053993,124.46306080246805,116.85153408252373,141.38042963610422,58.337602806726416,65.26222707918666,16.74442940473233,65.0695822905707,4.45168889098627,0.7314616441726685,0.714725911617279,0,0
2,134.98901029695665,143.76032684737095,110.86471249369127,147.61287729169956,121.11749767663909,152.92594730932268,57.5823450115752,69.8519540618176,10.354970847836048,74.57325257129078,3.5165417724815926,0.7328187227249146,0.6988390684127808,0,0
3,151.26874818806584,127.89768874653959,116.60279801119944,150.7450319303544,124.60846310945033,154.6407888672383,54.66011064438618,74.82519410762364,21.301554698592536,85.44955530543876,5.358730380023031,0.7419847249984741,0.6719189286231995,0,0
4,153.59465158687354,115.98060080396317,28.805819519540265,128.64513961292738,130.657283324716,164.3003610121119,67.5307915631391,95.57514282597671,14.476953514389209,85.6133979361161,8.460414747768358,0.7481098175048828,0.6814758777618408,0,0
5,78.45051458764117,178.90594210953117,159.17584564810838,119.75864799137787,160.47060958713138,155.4908243826772,67.94585088263118,97.93671321677986,95.80160133927136,19.093847741030274,13.781506339781156,0.6530774235725403,0.7565343976020813,0,0
6,121.26420712066175,68.85590985239484,66.85982293442328,175.45715377159377,143.2428060519861,149.3836682320212,75.35173288951796,83.57477464932698,38.42766484398077,85.57386344565874,16.44906591265642,0.7574939727783203,0.6802784204483032,0,0
7,120.49784780244681,55.073155636521456,68.62665558175925,134.48258841614947,143.59107633080006,143.6499792546457,81.5502695169435,69.99262888365254,41.91385688387837,96.48135905629417,18.820628355525148,0.7721412777900696,0.6524229049682617,0,0
8,144.53132879320475,40.788572940329985,59.03625702176891,112.31747717894072,170.82456814516877,118.94983793815129,88.43737097738138,74.7066979307472,49.409865365523366,82.04216005423457,23.116626013559376,0.7749531269073486,0.6687143445014954,0,0
9,166.20955272942044,43.33774196120183,80.17137747850238,91.56858031182657,166.25534510057923,112.36752886445717,89.54677022898865,63.49715574791216,50.39473813954057,69.45558853245014,22.859635969540186,0.77341228723526,0.6741904020309448,0,0
