frame_number,left_knee,right_knee,left_ankle,right_ankle,left_hip,right_hip,left_elbow,right_elbow,left_shank,right_shank,trunk_lean,left_ankle_y,right_ankle_y,phase_left,phase_right
0,112.68040231260137,55.67615749755257,61.14613164156732,142.38605493476155,136.73452591291917,139.06734300869647,86.88382250609033,110.29839671664287,41.464902932663584,98.71756520795391,17.41077933234577,0.898067831993103,0.7150983810424805,0,0
1,125.20956848804059,57.961412116170564,57.28750444080045,127.57887530091386,151.92038749017,142.27665653917825,75.69035610442725,87.86636278729625,48.47822292980798,95.7673276141992,21.767403927678583,0.8987391591072083,0.7295006513595581,0,0
2,146.66288161116884,45.17719150324612,58.21041835422297,92.50668878964998,174.31022171892448,103.4148533735199,74.66301902604988,104.4787782274971,52.96825357843737,69.33629283289314,25.320913470681777,0.8985740542411804,0.7557185888290405,0,0
3,164.89856778992004,69.62538494824994,91.25138322950951,81.24997265256441,164.7075699597441,111.06812632291182,74.73635016040417,85.22302764025326,54.08429067938992,48.87467861145206,23.690428429054002,0.8831159472465515,0.7669242024421692,0,0
4,171.58932711112476,81.71493190749949,125.0276587621615,92.1049838481113,157.98239514598217,111.29764738748648,77.83302761063342,69.76028878264414,55.36702371411169,30.240870576047364,24.93874597121848,0.8671347498893738,0.7889325618743896,0,0
5,162.2328593116171,115.5185105253862,137.32429507309712,99.70763497095524,157.23348115972712,118.38402302523907,78.807656140676,60.08203150201229,65.45095104797038,1.6613331537496705,24.91729151931456,0.8359289169311523,0.8057392239570618,0,0
6,150.68360933834185,144.91992420007364,141.84245882352315,113.38274703650268,157.98628543824856,126.34738180080303,75.16100675442323,60.90769235983695,76.12231943879763,20.307406205222204,24.792214215388,0.8009608387947083,0.8171077966690063,0,0
7,138.12396360721448,163.39052168008416,146.8678279308531,118.35266786212681,162.35064835317408,137.76837295301155,69.53239884652412,63.383411425639565,85.35526600501689,27.796886113906073,25.829877965405448,0.7562465667724609,0.8271745443344116,0,0
8,123.24605764231396,162.50117030198197,147.34458856486697,112.54522053623631,170.0979342719616,138.97768507856472,71.81682682441321,99.96337890972497,90.7931490085082,21.666183870750128,24.137140922783708,0.7304397821426392,0.8482828140258789,0,0
9,99.3358024562221,150.93371509200085,148.84929892025988,104.05788924091668,174.04646434378267,143.6747243468133,104.21180866960938,92.95196716903156,95.49383082483625,4.460946739884395,20.78316893727562,0.715221107006073,0.8684662580490112,0,0
10,75.80816995747705,151.2815477136692,152.77725571098998,96.57902177200373,155.54776447125516,150.06323048970475,117.77375879630293,86.87828987348317,98.94567361619102,3.6295708563212936,19.206079102412904,0.7124547362327576,0.8830639719963074,0,0
11,51.585296209380495,132.64796585357948,137.981823433002,75.64131851179259,130.45161232564655,152.53205593431795,115.3022784059891,99.47748195076838,96.67490848502794,32.94672403561692,17.80859236876189,0.7181244492530823,0.8810427784919739,0,0
12,38.93221764436501,154.95016562872073,132.4884304814422,82.15643053072706,112.99140686352953,174.44840991294356,101.93808245646699,91.57853829167627,88.03687905791196,36.61997635610247,13.977689838747404,0.7377938628196716,0.878074049949646,0,0
13,42.530308255060106,166.7644384736605,96.80376113653429,89.71068042517304,107.74927817929748,166.27012802718826,84.79431466087513,81.46289441148177,75.36336014563422,46.23644459190135,10.144390221396828,0.7547615766525269,0.8728851079940796,0,0
14,64.98153868043684,172.29215453978438,91.98487965998179,113.31163301720777,110.28824211211746,154.9422743794176,67.60963347238415,83.5631000265114,52.12548793214375,50.573247224071025,6.818784500463131,0.7965155839920044,0.8613005876541138,0,0
15,95.83799400821206,162.8899145722633,85.77389522498642,135.50618966175804,116.80030165859498,154.328899041436,60.48883350861687,86.34591862666807,25.862507416412267,60.90015704627935,4.900199766029367,0.8315315246582031,0.8328900337219238,0,0
16,128.6607983696723,147.6269660360191,99.9159951193091,139.31344747530758,124.05241796535988,157.92817018457268,53.54152471394066,73.92532192353657,1.35042343298873,73.26956923676335,3.25795697132379,0.8523725271224976,0.7895116209983826,0,0
17,150.48363634724765,135.60041647079834,115.20108923550421,144.93281679853763,128.97238772462367,155.57234126299983,54.044924754675435,70.9031668665932,16.3211586157582,82.83188894327516,5.19009000686573,0.862563967704773,0.7495250105857849,0,0
18,151.17400692550055,110.26177669652992,111.68675076528979,149.8203653402361,130.5358224847047,167.73042085854274,64.01452857085384,86.23071123315604,12.919350571976565,92.30067080751316,7.718833868819241,0.8768264651298523,0.7250375151634216,0,0
